1;1;2;1;1
2;3;4;1;0
3;1;3;1;3
4;4;2;2;1
5;4;1;1;7
6;2;3;2;2
7;5;6;3;2
8;7;8;1;1
9;8;6;3;1
10;5;7;0;0
11;8;5;2;2
12;6;7;1;4
13;9;10;3;3
14;11;12;3;2
15;9;11;1;1
16;12;10;0;1
17;12;9;2;1
18;10;11;1;2
19;13;14;3;1
20;15;16;1;1
21;13;15;2;3
22;16;14;1;2
23;16;13;0;0
24;14;15;4;2
25;17;18;2;3
26;19;20;1;1
27;17;19;0;0
28;20;18;3;1
29;20;17;1;2
30;18;19;1;3
31;21;22;3;3
32;23;24;4;1
33;21;23;1;1
34;24;22;1;4
35;24;21;0;0
36;22;23;2;2
37;25;26;1;1
38;27;28;0;1
39;25;27;1;2
40;28;26;0;0
41;28;25;1;3
42;26;27;0;0
43;29;30;4;2
44;31;32;1;1
45;29;31;1;3
46;32;30;0;5
47;32;29;1;2
48;30;31;1;1
49;-1;-1;-1;-1
50;-1;-1;-1;-1
51;-1;-1;-1;-1
52;-1;-1;-1;-1
53;-1;-1;-1;-1
54;-1;-1;-1;-1
55;-1;-1;-1;-1
56;-1;-1;-1;-1
57;-1;-1;-1;-1
58;-1;-1;-1;-1
59;-1;-1;-1;-1
60;-1;-1;-1;-1
61;-1;-1;-1;-1
62;-1;-1;-1;-1
63;-1;-1;-1;-1
64;-1;-1;-1;-1
